职位名称,薪资范围,公司名称,公司人数,工作经验
运维工程师,15,易谷网络科技,500,本科
测试运维实习生,4,浩鲸科技,2000,不限
运维开发工程师,25,新浪网,2000,本科
运维工程师,15,华风爱科,50,本科
业务分析及运维（交易运维）,40,泰康资产,2000,本科
数据库运维开发工程师,30,蔷薇控股,500,本科
高级运维开发工程师,25,高灯科技,2000,本科
运维工程师,15,易谷网络科技,500,本科
测试运维实习生,4,浩鲸科技,2000,不限
运维开发工程师,25,新浪网,2000,本科
运维工程师,15,华风爱科,50,本科
应用运维工程师,18,上海睿民,2000,本科
知识图谱部-系统运维研发工程师（k8s）,35,百度,2000,本科
云平台高级运维工程师,20,飞鸿云际,150,本科
基础组件高级运维研发工程师(J200325007),40,滴滴,2000,本科
弹性云平台运维工程师(J200916010),30,滴滴,2000,本科
运维工程师,16,顶点软件,2000,本科
网站运维开发工程师 (MJ007197),25,搜狐集团,2000,本科
SRE运维开发工程师,30,中设数字技术,500,本科
运维开发工程师(J13099),15,传智播客,2000,本科
应用运维工程师,18,嘀嗒出行,500,本科
运维工程师-技术支持部,15,得意音通,150,本科
运维服务总监/经理,35,得意音通,150,本科
运维工程师,20,91科技集团,500,本科
软件运维工程师,12,卡俄斯星,150,本科
运维经理,32,AddNewer加和科技,150,本科
大数据运维工程师,13,东方国信,2000,本科
运维开发工程师-【游戏业务】,50,快手,2000,本科
Redis高级研发/运维工程师,50,快手,2000,本科
sre运维工程师,30,凤凰FM,2000,本科
运维开发专家 - SRE,50,饿了么,2000,本科
系统运维工程师,17,人民健康网,150,本科
系统运维管理员,25,上海兆芯,2000,本科
自动化运维工程师,20,格上添富,500,本科
运维研发高级工程师,20,新东方教育科技集团,2000,本科
运维实习生,6,听云,500,本科
中级运维工程师,15,开科唯识,2000,本科
JAVA运维开发工程师,8,慧萌软件,150,大专
运维开发工程师(J16608),40,新东方,2000,本科
中高级网络运维工程师,15,中国电信系统集成公司,2000,本科
驻场安全运维工程师,15,中国电信系统集成公司,2000,本科
MongoDB 运维开发工程师,35,深圳钛铂数据有限公司,50,本科
基础设施运维,36,亿联银行,500,本科
运维工程师,18,比邻东方——新东方青少年外教直播,500,本科
运维工程师,30,五竹科技,50,本科
运维工程师,15,易联众民生（厦门）科技有限公司,500,本科
安全运维工程师（校招）(J11820),12,天融信,2000,本科
运维工程师,25,闪银奇异,2000,本科
安全及运维专员,15,国网电商公司,2000,本科
安全运维工程师（校招）(J11820),12,天融信,2000,本科
运维工程师,25,闪银奇异,2000,本科
安全及运维专员,15,国网电商公司,2000,本科
网络安全研究员(运维中心),40,国网电商公司,2000,不限
运维实施工程师,30,GrowingIO,500,不限
桌面运维,6,中科创思,500,大专
业务运维工程师,15,恒天凯旋,2000,本科
运维工程师,23,CGTN,500,本科
技术运维岗（劳务派遣,10,建信金科,2000,大专
it运维工程师,30,顺丰同城,2000,本科
DevOps技术专家 （Cloud Native运维运营方向）,40,贝壳,2000,本科
系统运维工程师,30,必要商城,500,本科
数据仓库工程师（实施运维跟踪）,25,红网技术,500,本科
高级运维工程师（k8s方向）,30,好生活,2000,本科
运维开发工程师007,40,UMU,150,本科
运维工程师（docker、k8s微服务方向）,14,中科软,2000,本科
linux运维工程师,12,中科软,2000,本科
大数据运维工程师,45,金山云,2000,本科
运维总监,70,金山云,2000,本科
运维工程师,18,赢时胜软件,2000,本科
运维工程师,10,赢时胜软件,2000,大专
sre运维工程师,40,360,2000,本科
基础组件高级运维研发工程师,40,滴滴,2000,本科
运维开发工程师（监控研发）,40,滴滴,2000,本科
IDC运维工程师,20,360,2000,本科
大数据运维开发,40,快手,2000,本科
高级运维工程师 (MJ000084),24,点众科技,500,本科
IT运维专家,55,用友,2000,本科
大数据运维工程师,70,京东数字科技,2000,本科
运维工程师,22,掌众科技,2000,本科
高级基础架构运维工程师,35,当当网,2000,本科
应用运维工程师,40,当当网,2000,本科
运维工程师,16,中诚信征信,500,本科
运维部_云管产品研发工程师,60,百度,2000,本科
运维部_SRE工程师,40,百度,2000,本科
高级运维开发工程师,60,UMU,150,本科
高级运维工程师SRE 006,40,UMU,150,本科
高级网络运维工程师,35,理想汽车,2000,本科
IT运维工程师,10,大地量子,50,大专
桌面运维工程师,6,安百科技,150,大专
运维工程师,18,北森云计算,2000,本科
linux运维工程师,6,优讯,150,大专
运维工程师,15,鸿蒙网,150,本科
IT技术支持/运维---北京金融街,6,USTBJ,500,本科
运维工程师-容器,20,腾云悦智,2000,大专
